Content,Date_Posted,Date_Replied,Date_of_Experience,Name,Ratings,Reply,Review,Title
"It interesting to note that there is no connected phone number, email or ANY means of connecting with Stripe about their fraudulent merchant processing. Their customer (Saman) used a web redirect to get a fraudulent collector coin order (for $133). In other words, it was a different company all the way until the order placement screen and the fact that it was Saman was disguised thru a last minute redirect. Saman sends an unbelievable amount of emails, but offers no response. They have a phony tracking number for your order and their phone has been disconnected. What sort of background check does Stripe do on their merchants? So, Saman operates out of an empty 750 sq ft Condo in Brooklyn, has no store front (Straw Man operation) and does not respond to emails once they have your money. This must be why Stripe does no background check on their merchants for processing - Saman is a foreign national from England so this has to be taken up with the State Department and District Attorney's office. Evidently, a BBB complaint must be filed and this is now a federal matter concerning the FTC and the FBI (it's across state lines) and the Secretary of State. Hope Stripe enjoys all the attention. Was it worth it to Stripe to collect that $4 processing fee? Let's find out!!!",2024-09-23T20:04:38.000Z,2024-09-23T20:14:16.000Z,"September 10, 2024",Nick,Rated 1 out of 5 stars,"Hi Nick, thanks for bringing this to our attention. Stripe does not condone nor support such activities. Please email us at heretohelp@stripe.com with more details, and we’ll investigate this from our side.",1,Stripe Merchant Processing FRAUD
They closed my acount because I don’t have bussines account . I had 2 payments paid by 2 clients total 1460 pounds ,2024-09-24T05:14:11.000Z,2024-09-24T05:21:58.000Z,"May 10, 2024",leandro bueno,Rated 1 out of 5 stars,"Hi Leandro, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",1,They closed my acount because I don’t…
I had a concern with the billing and sent a message to Stripe's support team. I received a prompt response with a full explanation that satisfied my concern.,2024-09-13T17:44:03.000Z,2024-09-13T17:51:14.000Z,"August 27, 2024",BF,Rated 5 out of 5 stars,Glad to hear we could help—we really appreciate your feedback here.,1,Concern with billing that was resolved
"As a long-term user of Stripe for processing payments, we have encountered several challenges that have led to significant dissatisfaction. Initially, contacting their customer service was straightforward, but the response times were often excessively long. Our experience took a turn for the worse when a client requested a refund shortly after a transaction. Stripe deducted fees from both the client's transaction and our account, resulting in our account going negative. The combined fees exceeded 20% of the transaction amount, which seemed unfair.",2024-09-24T01:49:08.000Z,2024-09-24T02:07:15.000Z,"September 01, 2024",InstaPayUAE,Rated 1 out of 5 stars,"Hi there, we're incredibly sorry to hear the experience has been less than positive here. When you create a refund, the full amount of the payment is returned to your customer. However, your Stripe fees are not refunded to you for refunds. This means that you'll see both the amount for the refund pulled from your balance, as well as the Stripe fee amount: https://support.stripe.com/questions/understanding-fees-for-refunded-payments",1,Unfair Fees and Frustrating Refund Process: A Cautionary Tale with Stripe
If you want lose your clients and your business and your money use stripe,2024-09-19T20:09:19.000Z,2024-09-19T20:42:03.000Z,"September 19, 2024",Ahmad,Rated 1 out of 5 stars,"Hi Ahmad, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit.",9,If you want lose your clients and your…
Julia and John truly made me feel supported and both professional and knowledgeable on how to resolve my issue. They both were available and manage my issues by being very attentive and providing the tools I needed to resolve my problem.,2024-09-10T19:33:52.000Z,2024-09-10T19:39:47.000Z,"August 31, 2024",Victoria L,Rated 5 out of 5 stars,"Glad to hear we could help—we really appreciate your feedback here, Victoria.",2,"Support, Professional, and Knowledge"
"We've been using Stripe for multiple businesses for several years, and this recent experience has been nothing short of disappointing. Without any prior warning or explanation, Stripe abruptly closed our account and has withheld our funds, offering no clear answers despite numerous attempts to reach out for clarification.",2024-09-23T13:29:29.000Z,2024-09-23T13:37:54.000Z,"September 18, 2024",Banaat FC,Rated 1 out of 5 stars,"Hi there, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",1, Extremely Disappointing Experience with Stripe
"Stripe has been a nightmare for my business. After verifying my account and confirming with an agent that there were no issues with receiving high-volume payouts, Stripe deactivated my account and paused my payouts as soon as I received a significant order on my Shopify store. Their agent assured me over the phone that my account was set up correctly to handle these payments, yet when the funds actually arrived, they blocked my account without warning. To make matters worse, they even told my customer that my website wasn’t taking real orders, which is completely false and damaging to my reputation. I’ve submitted all the required documents again, but Stripe’s handling of this situation has been nothing but misleading, unprofessional, and financially harmful. Avoid Stripe if you value reliable service and honest support.",2024-09-22T20:07:21.000Z,2024-09-22T20:17:08.000Z,"September 21, 2024",Rex Smao,Rated 1 out of 5 stars,"Hi Rex, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",1,Stripe has been a nightmare for my…
"I use Stripe because I'm registered with the cat in a flat company and they choose to use Stripe for transferring money from clients bank accounts into my account. The website is very easy to use, seems secure and they offer the option to receive your money early for a small fee. However one big minus point is the huge fees they charge to transfer money from the clients account into my account. As a small independent business I wouldn't use Stripe if I had the choice. ",2024-08-29T14:28:01.000Z,2024-08-29T14:39:39.000Z,"August 20, 2024",Tracy Challis,Rated 4 out of 5 stars,"Hi Tracy, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",5,Mainly good company but fees are too high
The worst experience ever. Totally incompetent. Wasted months and withheld payments then customer service was non existent. Stay well away!,2024-09-23T17:13:31.000Z,2024-09-23T17:22:35.000Z,"September 23, 2024",Gary Brown,Rated 1 out of 5 stars,"Hi Gary, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you. If your issues are still ongoing, please contact us using one of the support options available on https://support.stripe.com/contact/, and we’ll work to resolve your issue as quickly as possible.",4,The worst experience ever
"Time wasting customer support, you get your account hacked they won't even do anything, worse than ever, they will refer you to other teams who never respond",2024-09-20T17:02:11.000Z,2024-09-20T17:20:54.000Z,"September 19, 2024",Skills Group,Rated 1 out of 5 stars,"Hi there, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",1,Time wasting customer support
After reading the 1 star reviews I'll be contacting my lawyer in the morning. Seems like this company my be a scam. I had 2 clients pay with cc and they closed my account saying g it was red flagged. Both chargers was 100 % legit. ,2024-09-20T02:15:47.000Z,2024-09-20T02:26:44.000Z,"September 17, 2024",Brent Sharp,Rated 1 out of 5 stars,"Hi Brent, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit. If you believe there is more to consider, please follow the instructions provided in the email outreach we made regarding your account, or through one of our support options available on https://support.stripe.com/contact/. We appreciate your interest in Stripe, and we wish you the best of luck moving forward.",1,After reading the 1 star reviews I'll…
Stripe has banned my old review because I exposed them. Writing this one now.,2024-09-24T03:19:08.000Z,2024-09-24T03:27:49.000Z,"September 23, 2024",Anton kouzmine,Rated 1 out of 5 stars,"Hi Anton, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",1,Caught Stripe doing fraud
"I've been a fan of Stripe going back to 2019 when I was developing an order online, pay and pickup app for a small chain of ten grocery stores. The final piece was connecting the payment processor with the app. The stores were working with First Data Merchant Services so I reached out to them. After waiting over two weeks to receive the information needed to connect the app to the payment system, out of frustration I thought I would give Stripe a try. Took me about twenty minutes and we were up a running.",2024-08-25T23:54:35.000Z,2024-08-26T00:04:18.000Z,"August 22, 2024",John McIntosh,Rated 5 out of 5 stars,"Hi John, we’re thrilled to hear that! Thanks for sharing your wonderful experience and kind words.",14,Big Fan of Stripe
"Great service, I was not expecting a response via phone by an actual person:)",2024-09-10T16:15:08.000Z,2024-09-10T16:21:08.000Z,"September 04, 2024",Ismael Castro,Rated 5 out of 5 stars,"Glad to hear we could help—we really appreciate your feedback here, Ismael.",1,Great service
I was impressed by their efficiency and care. ,2024-09-12T04:29:54.000Z,2024-09-12T04:40:19.000Z,"September 06, 2024",Eoin McDonald,Rated 4 out of 5 stars,"Glad to hear we could help—we really appreciate your feedback here, Eoin!",2,I was impressed by their efficiency and…
"This company has appropriated my client's money, not paying it to my account and blocking my account! I tried to appeal, but they also did not unblock the account. I wrote many requests to the customer service, but I did not receive a single answer! They do not answer any questions on the phone. They just hang up! I do not recommend contacting this company!",2024-09-17T06:04:14.000Z,2024-09-17T06:37:21.000Z,"August 01, 2024",Iuliia,Rated 1 out of 5 stars,"Hi Iuliia, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",1,This company has appropriated my…
"Stripe is a very bad company,  they hold money with no sense. They can suddenly hold and take your business money withhout real facts. Very high risk. Bad experience ",2024-09-22T12:37:52.000Z,2024-09-22T12:58:46.000Z,"September 10, 2024",David Avital,Rated 1 out of 5 stars,"Hi David, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit.",2,Stripe is a very bad company
"We launched our online Membership Rewards platform just two nights ago, but Stripe has already suspended our account, wrongly accusing us of operating a gambling site, which we are not. Our business model is standard and widely used by other membership rewards clubs who have no issues with Stripe as their payment gateway. We’re frustrated by the lack of explanation for this decision and the poor support we've received. Running a business with such inadequate support is incredibly challenging. We have every right to be utilising this system as much as everyone else. Our system is fully compliant with all terms and conditions and is in no way associated with illegal gambling, or any gambling at all for that matter. We expect a proper explanation or a review of this.",2024-09-16T14:49:52.000Z,2024-09-16T15:01:51.000Z,"September 16, 2024",Paul,Rated 1 out of 5 stars,"Hi Paul, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",1,Unfair closure of Stripe account
"As a small business, we've always strived to provide a seamless shopping experience for our customers. We are online since 2011 and unfortunately, we've recently faced an unexpected and frustrating setback. Our payment provider, Stripe, has suddenly decided to stop providing their services to us due to some suspicious payments that we had no control over.",2024-09-16T10:08:04.000Z,2024-09-16T10:32:01.000Z,"September 09, 2024",Carlos Santos,Rated 1 out of 5 stars,"Hi Carlos, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit.",1,Stripe left Us Without Options Overnight 
"I wish I could give 0 stars because It does not deserve any good reviews. I opened up an account with them after opening an account with FreshBooks. Freshbooks had recommended Stripe as a payment platform so I decided to go ahead and get set up with them. I made an account with stripe and the first few small payments of $290-$375 went fine. No problems, but then I had a customer make a payment for $1,755 and that’s when It all went terribly wrong. They stated my business was a “high risk” and stated that they were withholding the funds until I could provided further documentation that the company was a legitimate business. Which I then did so. I provided legal documentation including the certificate of formation. At first they had accepted It and within minutes they denied It. I tried to send more information including business bank statements which they also asked for but they would not allow me to prove that my business was legit anymore. This happened nearly a month ago. They still have not given the money to me nor have their refunded It to my customer like they stated that they were going to in their email. They said It would take roughly 5 business days. They also took $ 618.33 out of the payment that was made by my customer which was $1,755 for so called “fees” which they also would not explain what the fees were for. I tried calling and emailing. The email responses are a joke and do not provide very much information. Then when you call all they tell you and will tell you is It is being put under investigation to see what happened. Which by the way it’s nearly impossible to get ahold of them by phone. I still have not received a response from the last time I emailed. They really should be shut down and Google should absolutely not recommend this company. Freshbooks/Stripewas one of their top rated small business invoice platforms. ",2024-09-24T14:00:12.000Z,2024-09-24T14:22:15.000Z,"August 28, 2024",Steavie Post,Rated 1 out of 5 stars,"Hi Steavie, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit. ",1,"I wish I could give 0 stars, absolute fraud. "
If I could give this company Zero stars I would. I would strongly recommend using a competitor for your payment merchants. I’ve opened an account with them and it’s been TWO months and they have not verified my details. All I get from support is “we are reviewing the case” bla bla bla same message like a broken record. How much time does a company need to review some basic information about a business. No help at all. I’ve tried to be as assisting as possible and provided everything they need but to no avail.,2024-09-23T11:29:18.000Z,2024-09-17T19:21:34.000Z,"September 17, 2024",Grigori Derkats,Rated 1 out of 5 stars,"Hi Grigori,thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you.",2,If I could give this company Zero stars…
"We have been stuck in an endless loop for 2 months now with Stripe's verification process, and no one seems to be able to explain why. Despite our repeated efforts and immense patience, our account has been paused for over a month with no clear reason or resolution in sight.",2024-09-15T19:18:48.000Z,2024-09-15T19:29:13.000Z,"September 15, 2024",Michael Veltman,Rated 1 out of 5 stars,"Hi Michael, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",2,Terrible Service and Unreliable Verification Process
We've been with Stripe for over 9 years now. We've completed five successful working capital loans with them. We paid off our most recent loan and now are given nothing for additional financing options.,2024-08-21T07:35:33.000Z,2024-08-21T08:09:15.000Z,"August 20, 2024",Anthony Benavente,Rated 2 out of 5 stars,"Hi Anthony, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you. ",1,We've been with Stripe for over 9 years…
"Stripe's customer support is amazing. In one case when I was having trouble with documentation, I got a call the next day even though it was Saturday. The next week I got a call back within an hour of emailing about a related issue. The service rep was both kind and knowledgeable, and he walked me through exactly the steps to resolve the problem quickly.",2024-08-14T02:45:19.000Z,2024-08-14T02:55:08.000Z,"August 13, 2024",RAL,Rated 5 out of 5 stars,"Hi Ral, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",1,Amazing customer support
"Best payment getaway i ever used in my life, great suppor great services great of every thing.",2024-09-10T22:50:02.000Z,2024-09-10T23:02:00.000Z,"April 22, 2024",Abeer Salah Ahmed,Rated 5 out of 5 stars,"Hi Abeer, thrilled to hear that. Thanks for sharing your wonderful experience and kind words.",1,Great payment getaway
"horrible company, they will quite literally go into your account and take money from you even as a business with ZERO CHARGEBACK they treat you like trash. ",2024-09-16T15:40:38.000Z,2024-09-16T15:50:41.000Z,"September 16, 2024",Angela Hoff,Rated 1 out of 5 stars,"Hi Angela, thank you for sharing your feedback with us. We’re happy to take another look at your account to make sure things are working as intended—our team will review your account, and if we have more information to share, we'll reach out to you via email.",3,they will take your money
I have never had a worse experience.,2024-09-13T14:53:35.000Z,2024-09-12T23:09:08.000Z,"September 13, 2024",Devansh,Rated 1 out of 5 stars,"Hi Devansh, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",6,I have never had a worse experience.
"I used a couple of stripe accounts, a couple of accounts have been shot down.",2024-09-13T09:16:31.000Z,2024-09-13T09:34:15.000Z,"September 13, 2024",paul,Rated 1 out of 5 stars,"Hi Paul, thank you for taking the time to provide your feedback with us. We're incredibly sorry the experience has been less than positive here. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",1,I used a couple of stripe accounts
Updated review:,2024-09-10T16:58:23.000Z,NA,"September 10, 2024",ant,Rated 1 out of 5 stars,NA,2,Updated review:
"Amazing services! I've worked with stripe for over a year now, and have had no issues and the support is always amazing as well. I would definitely recommend for all companies.",2024-08-26T00:46:17.000Z,2024-08-26T00:53:55.000Z,"August 25, 2024",Nukayy,Rated 5 out of 5 stars,"Hi Nukayy, thank you for the kind words—we really appreciate your feedback!",1,Amazing services
"WORST customer service and HORRIBLE IT department.  They cannot fix an issue that is clearly on their end and do not care about the customer at all.  Hey instead of us fixing the issue, you should do 15 extra steps to get what you need.  HIGH FEES compared to other places.  NOTHING IS WORSE THAN DEALING WITH THEIR IT PEOPLE.  Basic entry level at best. ",2024-09-10T18:10:52.000Z,2024-09-10T18:19:17.000Z,"September 10, 2024",Heather Johnson,Rated 1 out of 5 stars,"Hi Heather, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently. We’d like another opportunity to make it right for you.",1,WORST customer service and HORRIBLE IT…
Not great customer support. ,2024-08-30T10:52:16.000Z,2024-08-30T11:09:13.000Z,"August 30, 2024",James Singleton,Rated 2 out of 5 stars,"Hi James, thank you for sharing your feedback with us. We’re happy to take another look at your issue to make sure things are working as intended—our team will review your concern, and if we have more information to share, we'll reach out to you via email.",1,Customer support leaves a lot to be desired
This company in conjunction with Metamask is the worse.  Don't do business with these companies.  No one can tell me where my funds are sitting after taking a cash advance from my current Credit Card via Stripe.,2024-09-10T02:29:47.000Z,2024-09-10T02:39:58.000Z,"September 05, 2024",Tricia Scarbor,Rated 1 out of 5 stars,"Hi Tricia, we’re sorry to hear about this, and we want to provide clarity to support you. Stripe is a payments processor that works with businesses to help them accept payments through their websites, apps, and stores. In this case, it might include Metamask if you made a purchase via their platform.",1,Scam or not
I was told inaccurate information which caused us to bill a customer that still had a bank account blocked in Stripe.,2024-09-11T23:15:40.000Z,2024-09-11T23:29:28.000Z,"September 09, 2024",Yesenia S,Rated 2 out of 5 stars,"Hi Yesenia, thank you for taking the time to provide your feedback with us. Stripe aims to provide a high quality, timely support experience for all users, and we’re sorry to hear we didn’t meet your expectations recently, resulting in the inaccurate information. We’d like another opportunity to make it right for you.",1,Inaccurate Information for a Restricted Bank Account
"Our experience with Stripe has been nothing short of a nightmare. Over a year ago, our account was suspended without any clear explanation, and they froze our funds. Despite numerous attempts to resolve the issue, Stripe has refused to return the money or even refund it to our customers, as they initially promised.",2024-09-17T09:45:17.000Z,2024-09-17T09:58:15.000Z,"January 11, 2024",Amjad,Rated 1 out of 5 stars,"Hi Amjad, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit.",5,Terrible Experience with Stripe – Funds Withheld for Over a Year
"Anyone who read my previous Review about stripe, We have discuss with Lawyer and they give us solution.",2024-09-16T00:29:18.000Z,2024-09-16T00:57:11.000Z,"September 15, 2024",Ai Da,Rated 1 out of 5 stars,"Hi Ai Da, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",8,Anyone who read my previous Review…
"It’s nothing but a scam!!! They will complete kyc ask your documents, activate your account then send you a closure message after few payments received. They have received almost 4000 USD from the customers and now they want to close my account and refund the amounts to the customers. They will never give you to time for explanation but will close your payouts immediately. Never trust this fraud company. I will raise this issue to my legal team and make sure that my husband  will not loose his legal money for the services he has provided to the customers. His mistake is he has trusted WIO digital bank in Dubai as they are the one who suggested him this payment method… Don’t think you cheaters will eat that money and I will make sure he will get his money for sure. You put him in trouble as you scammers are expert in that!!!!",2024-09-11T20:39:02.000Z,2024-09-11T21:57:52.000Z,"September 11, 2024",Shainaz Khan,Rated 1 out of 5 stars,"Hi Shainaz, thank you for taking the time to provide your feedback with us. There are a number of reasons why a Stripe account may become unsupportable, and we aim to provide as much transparency as possible when things just aren’t a good fit.",1,It’s nothing but a scam!!
Stripe close my accounts and pause my payouts and hold my 109 pounds by just that we will refund to customer who paid to my business in 6 days after 6 days the funds left in your account will not be available to you. After 6 days I checked the refunds history stripe didn't refund to any of our customers just stole my money we are doing this business since last two years. Don't trust stripe I am totally disappointed from stripe😭😭😭😭😭,2024-09-07T18:58:23.000Z,2024-09-07T19:09:24.000Z,"September 01, 2024",Muhammad Izaz Khan,Rated 1 out of 5 stars,"We appreciate your feedback here, Muhammad. We aim to offer our services for all, however, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. We’re happy to take another look at the issue you’ve raised here to make sure things are working as intended—we’ll reach out to you via email if we have more information to share.",1,Stripe close my accounts and pause my…
"One of the best customer service experiences I have ever had. Although they take time, they are accurate in understanding your problem and providing a direct solution. I recommend working with Stripe without a doubt.",2024-08-20T14:17:49.000Z,2024-08-20T14:27:12.000Z,"August 14, 2024",Abdulmuhaymin O,Rated 5 out of 5 stars,"Hi Abdulmuhaymin, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",1,One of the best customer service…
"We've been using Stripe since October 2021, and initially, everything worked fine. However, things took a frustrating turn when Stripe suddenly labeled our business as ""high risk"" without providing any evidence and placed an indefinite hold on our payouts. Despite submitting all the requested documentation and proving our compliance, their support team has failed to give any clear reason or transparency behind this decision.",2024-09-16T10:30:48.000Z,2024-09-16T10:40:36.000Z,"September 02, 2024",R Smart eShop,Rated 1 out of 5 stars,"Hi there, thank you for taking the time to provide your feedback with us. While Stripe aims to expand payment services for all, sometimes we aren’t able to support a business for risk, compliance, or regulatory reasons. However, we’re happy to take another look at your account to make sure things are working as intended. Our team will review your account and reach out to you via email if we have more information to share.",1,Extremely Frustrating Experience with Stripe
This is excellent support. They are waiting and patient. İ have language barrier. They explain many times and good language,2024-08-22T23:34:46.000Z,2024-08-22T23:42:32.000Z,"August 15, 2024",Mehmet Faruk T,Rated 5 out of 5 stars,"Hi Mehmet, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",1,This is excellent support
"Our experience with Stripe has been nothing short of a nightmare, filled with arbitrary decisions, contradictory communications, and significant business disruption. If you value your business’s financial stability, avoid Stripe at all costs. Here’s a detailed account of our ordeal:",2024-09-24T08:43:32.000Z,NA,"September 24, 2024",Scott O'Sullivan,Rated 1 out of 5 stars,NA,12,Our experience witReference ID: acct_1NQ9DWIMtBRnBHSGh Stripe has been…
I ordered 2 shirts and received a confirmation from the shop :The Kaleri.,2024-09-03T14:47:49.000Z,2024-09-03T15:01:35.000Z,"August 22, 2024",Carree,Rated 1 out of 5 stars,"Hi there, we’re sorry to hear about your experience. If you believe you’ve been fraudulently charged, we strongly recommend contacting the concerned business first to resolve the issue. However, if the business is unresponsive or the solution unsatisfactory, the next step is to file a dispute with your bank. When you file a dispute, your bank passes all relevant details to Stripe, and we use this data in our ongoing effort to combat fraud. You can learn more about disputing a purchase made through Stripe here: https://support.stripe.com/questions/disputing-a-purchase-made-through-stripe.",11,Fraudulent businesses accepted?
